time,latitude,longitude,altitude,activity_name,delta_dist_km,delta_time,delta_time_h,delta_height_m,speed_kmh,dist_cumulative_sum,time_cumulative_sum,height_cumulative_sum
2017-04-15 03:11:48+00:00,54.974064,23.928145,83.8,Kedainiai_100,0.02095890350832166,,0.0033333333333333335,0.0,6.287671052496497,39.05322793814232,6.686666666666514,39.0
2017-04-15 03:12:01+00:00,54.9739,23.92798,83.4,Kedainiai_100,0.021093951485062473,,0.003611111111111111,-0.3999999999999915,5.841401949709608,39.074321889627385,6.690277777777625,38.60000000000001
2017-04-15 03:12:13+00:00,54.973732,23.927818,83.4,Kedainiai_100,0.02138669413423819,,0.0033333333333333335,0.0,6.416008240271457,39.09570858376162,6.6936111111109575,38.60000000000001
2017-04-15 03:12:25+00:00,54.97357,23.927641,83.8,Kedainiai_100,0.021300361540705328,,0.0033333333333333335,0.3999999999999915,6.390108462211598,39.117008945302324,6.6969444444442905,39.0
2017-04-15 03:12:37+00:00,54.973404,23.927484,83.4,Kedainiai_100,0.021037430133168694,,0.0033333333333333335,-0.3999999999999915,6.311229039950608,39.13804637543549,6.7002777777776235,38.60000000000001
2017-04-15 03:12:41+00:00,54.973352,23.927436,83.0,Kedainiai_100,0.006554245380973985,,0.0011111111111111111,-0.4000000000000057,5.898820842876587,39.14460062081647,6.701388888888735,38.2
2017-04-15 03:12:53+00:00,54.973189,23.927306,83.4,Kedainiai_100,0.019964131251052203,,0.0033333333333333335,0.4000000000000057,5.989239375315661,39.16456475206752,6.704722222222068,38.60000000000001
2017-04-15 03:13:05+00:00,54.97302,23.927184,83.2,Kedainiai_100,0.020371217825745077,,0.0033333333333333335,-0.20000000000000284,6.111365347723523,39.18493596989327,6.708055555555401,38.400000000000006
2017-04-15 03:13:17+00:00,54.972852,23.927046,83.4,Kedainiai_100,0.020685013893310226,,0.0033333333333333335,0.20000000000000284,6.205504167993068,39.20562098378658,6.711388888888734,38.60000000000001
2017-04-15 03:13:29+00:00,54.972677,23.926908,83.2,Kedainiai_100,0.021392185450423106,,0.0033333333333333335,-0.20000000000000284,6.417655635126931,39.227013169237004,6.714722222222067,38.400000000000006
2017-04-15 03:13:41+00:00,54.972505,23.926767,82.4,Kedainiai_100,0.02116973607508446,,0.0033333333333333335,-0.7999999999999972,6.350920822525338,39.24818290531209,6.7180555555554,37.60000000000001
2017-04-15 03:13:53+00:00,54.972332,23.926648,83.4,Kedainiai_100,0.020711758969862853,,0.0033333333333333335,1.0,6.2135276909588555,39.26889466428195,6.7213888888887325,38.60000000000001
2017-04-15 03:14:05+00:00,54.972175,23.926484,83.4,Kedainiai_100,0.020390398151302017,,0.0033333333333333335,0.0,6.117119445390604,39.28928506243325,6.7247222222220655,38.60000000000001
